,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.variation_id,data.used_image_url,data.cheapest_product,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_sgd,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_gbp,data.lowest_price_cents_hkd,data.lowest_price_cents_cny,data.lowest_price_cents_cad,data.lowest_price_cents_twd,data.lowest_price_cents_eur,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_aud,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_hkd,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_hkd,data.retail_price_cents_myr,data.retail_price_cents_krw,data.retail_price_cents_cny,data.retail_price_cents_sgd,data.retail_price_cents_cad,data.retail_price_cents_eur,data.retail_price_cents_aud,data.retail_price_cents_twd,data.discount_tag
0,"['air', 'force', '1']",Air Force 1 '07 'Triple White',False,712867,CW2288 111,air-force-1-07-triple-white-cw2288-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/048/340/054/original/712867_00.png.png,sneakers,20201209.0,2020.0,0.0,e0d45024-3f13-4dc6-b684-0238150a9ed4,https://image.goat.com/attachments/product_outer_pictures/images/054/549/606/square/camera-outerPhotoData-2021-05-1218_46_41_0000.jpg?1620845201,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/549/606/square/camera-outerPhotoData-2021-05-1218_46_41_0000.jpg?1620845201""}",new_no_defects,8900,12000,39700,13500,7300,70700,61900,12300,273700,8200,1189200,11845200,101,10500.0,16000.0,8600.0,1402900.0,13974700.0,9700.0,14400.0,14200.0,322800.0,46800.0,73000.0,83400.0,,,,,,,,,,,,
1,"['air', 'force', '1']",Wmns Air Force 1 '07 'Triple White',False,717555,DD8959 100,wmns-air-force-1-07-triple-white-dd8959-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/051/194/458/original/717555_00.png.png,sneakers,20201222.0,2020.0,9000.0,f8b8ffc8-8a98-4362-9c27-ad46390ac318,https://image.goat.com/attachments/product_outer_pictures/images/054/654/155/square/temp1621028841.jpeg?1621028841,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/654/155/square/temp1621028841.jpeg?1621028841""}",new_no_defects,7800,10600,34800,11900,6400,62000,54200,10700,239800,7200,1042200,10380400,101,8400.0,12800.0,6900.0,1122400.0,11178900.0,7800.0,11600.0,11400.0,258300.0,37400.0,58400.0,66700.0,7500.0,1204300.0,71400.0,40700.0,11860900.0,62700.0,12200.0,12500.0,8500.0,13700.0,277500.0,under_retail
2,"['air', 'force', '1']",Air Force 1 '07 'Triple Black',False,719115,CW2288 001,air-force-1-07-triple-black-cw2288-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/054/211/154/original/719115_00.png.png,sneakers,,,9000.0,2f3aadfd-107e-410e-9edd-4b73e9c7cb8d,https://image.goat.com/attachments/product_outer_pictures/images/047/971/873/square/temp1609231903.jpeg?1609231903,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/047/971/873/square/temp1609231903.jpeg?1609231903""}",new_no_defects,9300,12600,41400,14100,7600,73900,64600,12800,286000,8600,1242600,12377600,101,10700.0,16300.0,8800.0,1429700.0,14240900.0,9900.0,14700.0,14400.0,329000.0,47700.0,74400.0,85000.0,7500.0,1204800.0,71500.0,39700.0,11576200.0,62100.0,12100.0,12200.0,8500.0,13100.0,275100.0,
3,"['air', 'force', '1']",Supreme x Air Force 1 Low 'Box Logo - White',False,585307,CU9225 100,supreme-x-air-force-1-low-box-logo-white-cu9225-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/408/055/original/585307_00.png.png,sneakers,20200305.0,2020.0,9600.0,644ed622-357f-4c0d-a582-969192a383c7,https://image.goat.com/attachments/product_outer_pictures/images/044/396/260/square/temp1603580747.jpeg?1603580747,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/044/396/260/square/temp1603580747.jpeg?1603580747""}",new_no_defects,13700,18500,61000,20800,11200,108800,95200,18800,421200,12600,1830500,18233700,101,14800.0,22500.0,12100.0,1977500.0,19697700.0,13700.0,20300.0,19900.0,455000.0,65900.0,102900.0,117500.0,8000.0,1285200.0,76200.0,42400.0,12347900.0,66300.0,12900.0,13000.0,9100.0,14000.0,293400.0,
4,"['air', 'force', '1']",Air Force 1 '07 'White Black',False,717534,CT2302 100,air-force-1-07-white-black-ct2302-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/051/085/945/original/717534_00.png.png,sneakers,20201222.0,2020.0,9000.0,5eece978-f9ba-4eb5-ba9d-b81d62c43126,https://image.goat.com/attachments/product_outer_pictures/images/050/156/146/square/temp1613023700.jpeg?1613023700,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/050/156/146/square/temp1613023700.jpeg?1613023700""}",new_no_defects,7400,10000,33000,11300,6100,58800,51500,10200,227500,6900,988800,9848900,101,8000.0,12200.0,6600.0,1068900.0,10647400.0,7400.0,11000.0,10800.0,246000.0,35700.0,55600.0,63500.0,7500.0,1204800.0,71500.0,39700.0,11576200.0,62100.0,12100.0,12200.0,8500.0,13100.0,275100.0,under_retail
5,"['air', 'force', '1']",Air Force 1 Jewel 'Color of the Month - Light Smoke Grey',False,1108304,DV0785 003,air-force-1-jewel-color-of-the-month-light-smoke-grey-dv0785-003,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/071/311/original/1108304_00.png.png,sneakers,20230105.0,2023.0,15000.0,46712cd5-03d3-41aa-ba41-794c3a660148,,,new_no_defects,7800,10600,34800,11900,6400,62000,54200,10700,239800,7200,1042200,10380400,0,8400.0,12800.0,6900.0,1122400.0,11178900.0,7800.0,11600.0,11400.0,258300.0,37400.0,58400.0,66700.0,12200.0,1988300.0,119100.0,66800.0,19941400.0,104400.0,20200.0,20400.0,13900.0,22600.0,463500.0,under_retail
6,"['air', 'force', '1']",Wmns Air Force 1 Shadow 'Ghost Swoosh',False,934525,DV1364 111,wmns-air-force-1-shadow-ghost-swoosh-dv1364-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/072/388/911/original/934525_00.png.png,sneakers,20220501.0,2022.0,11000.0,1824846d-9d48-4f40-8c93-aceb3f64323a,,,new_no_defects,7300,9900,32500,11100,6000,58000,50800,10100,224500,6800,975400,9715000,0,,,,,,,,,,,,,9300.0,1493200.0,87200.0,49300.0,14416600.0,76300.0,14900.0,15000.0,10500.0,16100.0,338000.0,under_retail
7,"['air', 'force', '1']",Air Force 1 Low '07 LV8 1 'Triple Red',False,581712,CW6999 600,air-force-1-low-07-lv8-1-triple-red-cw6999-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/082/584/514/original/581712_00.png.png,sneakers,20210120.0,2021.0,11000.0,95cab089-5f1b-47d8-99d8-147eebbde1c9,https://image.goat.com/attachments/product_outer_pictures/images/054/611/221/square/temp1620943125.jpeg?1620943125,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/611/221/square/temp1620943125.jpeg?1620943125""}",new_no_defects,9700,13100,43200,14700,7900,77000,67400,13300,298300,9000,1296100,12910000,101,12100.0,18400.0,9900.0,1616700.0,16104200.0,11200.0,16600.0,16300.0,372000.0,53900.0,84100.0,96100.0,9200.0,1472600.0,87300.0,48600.0,14148600.0,75900.0,14800.0,14900.0,10400.0,16000.0,336200.0,under_retail
8,"['air', 'force', '1']",Air Force 1 LE GS 'Triple White',False,749178,DH2920 111,air-force-1-le-gs-triple-white-dh2920-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/054/966/859/original/749178_00.png.png,sneakers,20210315.0,2021.0,8000.0,7b0fa0aa-8d41-4b8d-ba4f-1bbd9e45779d,https://image.goat.com/attachments/product_outer_pictures/images/054/589/388/square/temp1620917938.jpeg?1620917938,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/589/388/square/temp1620917938.jpeg?1620917938""}",new_no_defects,5500,7400,24500,8400,4500,43700,38300,7600,169100,5100,734900,7320100,44,7600.0,11600.0,6200.0,1015500.0,10115000.0,7000.0,10500.0,10300.0,233700.0,33900.0,52800.0,60400.0,6700.0,1071000.0,63500.0,35300.0,10289900.0,55200.0,10800.0,10800.0,7600.0,11700.0,244500.0,under_retail
9,"['air', 'force', '1']",Air Force 1 Low 'Color of the Month - White Silver',False,1084858,DZ6755 100,air-force-1-low-color-of-the-month-white-silver-dz6755-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/532/683/original/1084858_00.png.png,sneakers,20221207.0,2022.0,15000.0,5e674457-8239-4b46-858e-7819d13bded9,,,new_no_defects,6500,8800,29000,9900,5300,51600,45200,9000,199900,6000,868500,8650400,0,10300.0,15700.0,8400.0,1376200.0,13707500.0,9500.0,14200.0,13900.0,316700.0,45900.0,71600.0,81800.0,12900.0,2079400.0,119100.0,68000.0,19977200.0,105600.0,20600.0,20900.0,14400.0,23100.0,466100.0,under_retail
