,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_hkd,data.retail_price_cents_myr,data.retail_price_cents_krw,data.retail_price_cents_cny,data.retail_price_cents_sgd,data.retail_price_cents_cad,data.retail_price_cents_eur,data.retail_price_cents_aud,data.retail_price_cents_twd,data.variation_id,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_sgd,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_gbp,data.lowest_price_cents_hkd,data.lowest_price_cents_cny,data.lowest_price_cents_cad,data.lowest_price_cents_twd,data.lowest_price_cents_eur,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_aud,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_hkd,data.discount_tag,data.used_image_url,data.cheapest_product,data.season
0,"['jordan', '1']",Air Jordan 1 Retro High OG 'Chicago Lost & Found',False,920714,DZ5485 612,air-jordan-1-retro-high-og-dz5485-612,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/963/035/original/920714_00.png.png,sneakers,20221119.0,2022.0,18000.0,15200.0,2440500.0,142800.0,80700.0,23582800.0,125000.0,24400.0,24600.0,17000.0,26500.0,553100.0,7e849bc1-7ff0-4e4e-b8dd-22f465b10a96,new_no_defects,22900,30900,102000,34800,18700,181800,159100,31400,704100,21100,3059700,30475800,0,34300.0,52000.0,28000.0,4582800.0,45647100.0,31600.0,47100.0,46200.0,1054500.0,152700.0,238300.0,272300.0,,,,
1,"['jordan', '1']",Air Jordan 1 Mid SE GS 'White Ice Blue',False,1155000,DV1337 104,air-jordan-1-mid-se-gs-white-ice-blue-dv1337-104,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/271/155/original/1155000_00.png.png,sneakers,20230301.0,2023.0,12000.0,10000.0,1605700.0,95200.0,54300.0,15814500.0,83600.0,16300.0,16700.0,11300.0,18200.0,370000.0,3c67996e-e6c7-4964-b8ba-ede884d1c99d,new_no_defects,9900,13400,44100,15100,8100,78600,68800,13600,304400,9200,1322800,13176200,0,18900.0,28700.0,15400.0,2525300.0,25154500.0,17400.0,26000.0,25500.0,581100.0,84200.0,131300.0,150000.0,under_retail,,,
2,"['jordan', '1']",Air Jordan 1 Retro High OG 'Patent Bred',False,784379,555088 063,air-jordan-1-retro-high-og-patent-bred-555088-063,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/062/992/402/original/784379_00.png.png,sneakers,20211230.0,2021.0,17000.0,14200.0,2275800.0,135000.0,75000.0,21866000.0,117300.0,22900.0,23000.0,16100.0,24700.0,519600.0,4d344488-4e8f-46a7-baa3-01cd1281ee02,new_no_defects,20400,27500,90900,31000,16700,161900,141800,28000,627200,18800,2725700,27150800,0,24700.0,37500.0,20200.0,3300200.0,32873800.0,22800.0,33900.0,33300.0,759400.0,110000.0,171600.0,196100.0,,,,
3,"['jordan', '1']",Air Jordan 1 Retro High OG 'True Blue',False,1059448,DZ5485 410,air-jordan-1-retro-high-og-true-blue-dz5485-410,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/239/239/original/1059448_00.png.png,sneakers,20230114.0,2023.0,18000.0,15000.0,2409600.0,142900.0,79400.0,23152300.0,124200.0,24200.0,24300.0,17000.0,26200.0,550200.0,a5a57275-998c-48df-a98a-675cfcb39f1f,new_no_defects,13600,18300,60600,20700,11100,108000,94500,18700,418100,12600,1817100,18100600,0,16700.0,25400.0,13600.0,2231300.0,22226400.0,15400.0,22900.0,22500.0,513500.0,74400.0,116100.0,132600.0,under_retail,,,
4,"['jordan', '1']",Air Jordan 1 Retro High OG 'University Blue',False,599627,555088 134,air-jordan-1-retro-high-og-university-blue-555088-134,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/887/651/original/599627_00.png.png,sneakers,20210306.0,2021.0,17000.0,14200.0,2275800.0,135000.0,75000.0,21866000.0,117300.0,22900.0,23000.0,16100.0,24700.0,519600.0,ebff2e27-6804-423c-ad75-e618ab5c441f,new_no_defects,34600,46600,154100,52500,28200,274600,240400,47500,1063700,31900,4622900,46049900,101,45600.0,69100.0,37200.0,6092600.0,60690000.0,42000.0,62600.0,61400.0,1401900.0,203000.0,316800.0,361900.0,,https://image.goat.com/attachments/product_outer_pictures/images/054/583/504/square/camera3805501046580583477.jpeg?1620896738,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/583/504/square/camera3805501046580583477.jpeg?1620896738""}",
5,"['jordan', '1']",Air Jordan 1 Mid 'Cement True Blue',False,1097475,DQ8426 014,air-jordan-1-mid-cement-true-blue-dq8426-014,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/082/196/300/original/1097475_00.png.png,sneakers,,,12500.0,10300.0,1661500.0,99300.0,55900.0,16376800.0,87100.0,16900.0,17300.0,11800.0,19000.0,384000.0,5666706f-87b4-4b0e-8688-b3ad09dc8662,new_no_defects,9200,12400,41000,14000,7500,73100,64000,12700,282900,8500,1229200,12244500,0,15100.0,22900.0,12300.0,2017500.0,20097000.0,13900.0,20700.0,20400.0,464300.0,67300.0,104900.0,119900.0,under_retail,,,
6,"['jordan', '1']",Air Jordan 1 Mid SE 'Space Jam',False,1118896,DV1308 004,air-jordan-1-mid-space-jam-dv1308-004,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/316/916/original/1118896_00.png.png,sneakers,20230123.0,2023.0,13500.0,11300.0,1807200.0,107200.0,59600.0,17364200.0,93200.0,18200.0,18200.0,12800.0,19600.0,412600.0,53954052-ac50-4846-a3f1-6ab532e4136f,new_no_defects,9900,13400,44100,15100,8100,78600,68800,13600,304400,9200,1322800,13175100,0,,,,,,,,,,,,,under_retail,,,
7,"['jordan', '1']",Air Jordan 1 Retro High OG 'Skyline',False,1072277,DX0054 805,air-jordan-1-retro-high-og-skyline-dx0054-805,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/118/077/original/1072277_00.png,sneakers,20230408.0,2023.0,18000.0,14700.0,2405000.0,142900.0,80200.0,23956600.0,125100.0,24200.0,24700.0,16600.0,27300.0,553400.0,297c5fc9-ec45-4fdf-9231-e3699fd75f58,new_no_defects,12500,16900,55700,19000,10200,99300,86900,17200,384300,11500,1670200,16636600,0,15200.0,23100.0,12400.0,2030900.0,20230000.0,14000.0,20900.0,20500.0,467300.0,67700.0,105600.0,120700.0,under_retail,,,
8,"['jordan', '1']",Air Jordan 1 Retro High OG 'Stage Haze',False,895937,555088 108,air-jordan-1-retro-high-og-stage-haze-555088-108,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/072/682/079/original/895937_00.png.png,sneakers,20220702.0,2022.0,17000.0,14200.0,2275800.0,135000.0,75000.0,21866000.0,117300.0,22900.0,23000.0,16100.0,24700.0,519600.0,b3efe2d1-767d-48cb-8010-48cb15b0e445,new_no_defects,22600,30400,100700,34300,18400,179400,157000,31000,694800,20800,3019600,30078900,0,26100.0,39600.0,21300.0,3487200.0,34737100.0,24000.0,35800.0,35100.0,802400.0,116200.0,181300.0,207200.0,,,,
9,"['jordan', '1']",Travis Scott x Air Jordan 1 Low OG SP PS 'Black Phantom',False,1037191,DO5442 001,travis-scott-x-air-jordan-1-low-og-sp-ps-black-phantom-do5442-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/082/155/391/original/DO5442_001.png.png,sneakers,20221215.0,2022.0,6000.0,5100.0,808900.0,47700.0,27200.0,7948400.0,41900.0,8300.0,8400.0,5800.0,9200.0,185800.0,3a029fa1-9762-4261-952f-ca471201d9e4,new_no_defects,14000,18900,62400,21300,11400,111200,97300,19200,430400,12900,1870600,18632900,0,16300.0,24700.0,13300.0,2177900.0,21694100.0,15000.0,22400.0,22000.0,501200.0,72600.0,113300.0,129400.0,,,,
10,"['jordan', '1']",Wmns Air Jordan 1 Mid 'Stealth',False,1056097,BQ6472 115,wmns-air-jordan-1-mid-stealth-bq6472-115,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/298/091/original/1056097_00.png.png,sneakers,20221205.0,2022.0,12500.0,10400.0,1661500.0,99200.0,56400.0,16384000.0,87000.0,16900.0,17400.0,11700.0,18900.0,381900.0,61c0f7ad-9a07-4057-bd3f-f0e61bce3c8d,new_no_defects,11200,15100,49900,17000,9200,88900,77800,15400,344400,10300,1496500,14905200,0,12100.0,18400.0,9900.0,1616700.0,16102900.0,11200.0,16600.0,16300.0,372000.0,53900.0,84100.0,96100.0,under_retail,,,
11,"['jordan', '1']",Air Jordan 1 Retro High '85 OG 'Black White',False,1071994,BQ4422 001,air-jordan-1-retro-high-85-og-black-white-bq4422-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/085/007/537/original/1071994_00.png.png,sneakers,20230215.0,2023.0,20000.0,16800.0,2711700.0,158700.0,89700.0,26203100.0,138900.0,27100.0,27300.0,18900.0,29400.0,614500.0,cebb4628-e405-4a65-85e9-f12822650d43,new_no_defects,26000,35100,115800,39500,21200,206400,180700,35700,799400,24000,3473900,34601300,0,,,,,,,,,,,,,,,,
12,"['jordan', '1']",Air Jordan 1 Mid 'Bred Toe',False,998590,554724 079,air-jordan-1-mid-bred-toe-554724-079,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/076/377/053/original/998590_00.png.png,sneakers,20220921.0,2022.0,12500.0,10500.0,1694800.0,99200.0,56100.0,16377000.0,86800.0,16900.0,17100.0,11800.0,18400.0,384100.0,907d0213-e7fa-4217-ace2-a9cfc133d047,new_no_defects,9600,13000,42800,14600,7900,76200,66700,13200,295200,8900,1282700,12776900,0,11900.0,18100.0,9700.0,1590000.0,15838000.0,11000.0,16400.0,16000.0,365900.0,53000.0,82700.0,94500.0,under_retail,,,
