,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.retail_price_cents_cny,data.retail_price_cents_krw,data.retail_price_cents_cad,data.retail_price_cents_myr,data.retail_price_cents_eur,data.retail_price_cents_twd,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_aud,data.retail_price_cents_sgd,data.retail_price_cents_hkd,data.variation_id,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.lowest_price_cents_twd,data.lowest_price_cents_cad,data.lowest_price_cents_gbp,data.lowest_price_cents_eur,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_sgd,data.lowest_price_cents_cny,data.lowest_price_cents_hkd,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_hkd,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_aud,data.discount_tag,data.used_image_url,data.cheapest_product,data.season
0,"['jordan', '4']",Air Jordan 4 Retro 'Military Black',False,895934,DH6927 111,air-jordan-4-retro-military-black-dh6927-111,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/333/263/original/895934_00.png.png,sneakers,20220521.0,2022.0,21000.0,144900.0,27011000.0,28400.0,92700.0,19800.0,641900.0,17500.0,2811200.0,30500.0,28300.0,166700.0,b617b584-0632-4e40-be04-50a7ce805166,new_no_defects,32600.0,4355700.0,43388100.0,1002300.0,44700.0,26600.0,30000.0,145200.0,49400.0,43900.0,226500.0,258800.0,0.0,70200.0,94400.0,64600.0,312500.0,9379400.0,487700.0,57200.0,2158200.0,557200.0,93430700.0,96300.0,106400.0,,,,
1,"['jordan', '4']",Air Jordan 4 Retro SE 'Craft',False,1037302,DV3742 021,air-jordan-4-retro-se-craft-dv3742-021,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/405/298/original/1037302_00.png.png,sneakers,20230211.0,2023.0,21000.0,147700.0,27914600.0,29000.0,94200.0,20200.0,651000.0,17800.0,2897600.0,31600.0,28700.0,166700.0,03a3453f-817b-4219-86af-51ab9620c826,new_no_defects,17100.0,2284800.0,22758800.0,525700.0,23500.0,14000.0,15800.0,76200.0,26000.0,23000.0,118800.0,135800.0,0.0,18800.0,25300.0,17300.0,83700.0,2511900.0,130600.0,15400.0,578000.0,149200.0,25021400.0,25800.0,28500.0,under_retail,,,
2,"['jordan', '4']",Wmns Air Jordan 4 Retro 'Seafoam',False,952731,AQ9129 103,wmns-air-jordan-4-retro-seafoam-aq9129-103,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/368/708/original/952731_00.png.png,sneakers,20230209.0,2023.0,20000.0,138900.0,26203100.0,27300.0,89700.0,18900.0,614500.0,16800.0,2711700.0,29400.0,27100.0,158700.0,4de87f2f-ac38-491a-8c93-283cdcb4bf21,new_no_defects,20600.0,2748900.0,27434100.0,633300.0,28200.0,16800.0,19100.0,91700.0,31300.0,27800.0,143200.0,163500.0,0.0,23900.0,32200.0,22200.0,106400.0,3189300.0,166100.0,19500.0,734800.0,189700.0,31828800.0,32700.0,36300.0,,,,
3,"['jordan', '4']",Air Jordan 4 Retro 'Midnight Navy',False,946189,DH6927 140,air-jordan-4-retro-midnight-navy-dh6927-140,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/713/580/original/946189_00.png.png,sneakers,20221029.0,2022.0,21000.0,144900.0,27011000.0,28400.0,92700.0,19800.0,641900.0,17500.0,2811200.0,30500.0,28300.0,166700.0,4a9e1a5f-d037-44b7-878b-eabd3ede6e89,new_no_defects,27400.0,3660900.0,36467300.0,842400.0,37600.0,22400.0,25200.0,122000.0,41600.0,36900.0,190400.0,217500.0,0.0,35700.0,48000.0,32900.0,159000.0,4769900.0,248000.0,29100.0,1097600.0,283400.0,47513900.0,49000.0,54100.0,,,,
4,"['jordan', '4']",Air Jordan 4 Retro SE 'Black Canvas',False,933532,DH7138 006,air-jordan-4-retro-black-canvas-dh7138-006,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/407/687/original/933532_00.png.png,sneakers,20221005.0,2022.0,21000.0,144900.0,27011000.0,28400.0,92700.0,19800.0,641900.0,17500.0,2811200.0,30500.0,28300.0,166700.0,04003b72-726d-4431-8d50-a1fd40d95730,new_no_defects,28400.0,3794500.0,37798200.0,873100.0,39000.0,23200.0,26200.0,126500.0,43100.0,38200.0,197300.0,225400.0,0.0,32800.0,44100.0,30200.0,146100.0,4382400.0,227900.0,26700.0,1008400.0,260400.0,43654300.0,45000.0,49800.0,,,,
5,"['jordan', '4']",Air Jordan 4 Retro PS 'Military Black',False,940616,BQ7669 111,air-jordan-4-retro-ps-military-black-bq7669-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/074/423/162/original/940616_00.png.png,sneakers,20220521.0,2022.0,0.0,,,,,,,,,,,,edb17dd3-cea3-4eb0-b4ec-dd8066a8692b,new_no_defects,12100.0,1614700.0,16114200.0,372000.0,16600.0,9900.0,11300.0,53900.0,18400.0,16300.0,84100.0,96100.0,0.0,13100.0,17700.0,12200.0,58400.0,1748100.0,91100.0,10700.0,402800.0,104000.0,17446000.0,17900.0,19900.0,,,,
6,"['jordan', '4']",A Ma Maniére x Air Jordan 4 Retro 'Violet Ore',False,1015173,DV6773 220,a-ma-maniere-x-air-jordan-4-retro-violet-ore-dv6773-220,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/581/385/original/1015173_00.png.png,sneakers,20221117.0,2022.0,22500.0,155900.0,29196500.0,30500.0,100000.0,21300.0,690600.0,19000.0,3048500.0,33000.0,30400.0,178500.0,72ecec12-b449-4e4d-9c84-33f8ffd9ef08,new_no_defects,24900.0,3322700.0,33160600.0,765500.0,34000.0,20300.0,23100.0,110900.0,37800.0,33500.0,173100.0,197700.0,0.0,32300.0,43500.0,30000.0,143800.0,4310200.0,224500.0,26300.0,993000.0,256400.0,43015500.0,44100.0,49000.0,,,,
7,"['jordan', '4']",Air Jordan 4 Retro GS 'Midnight Navy',False,1069060,408452 140,air-jordan-4-retro-gs-midnight-navy-408452-140,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/197/233/original/1069060_00.png.png,sneakers,20221029.0,2022.0,16000.0,110400.0,20579800.0,21600.0,70600.0,15100.0,489000.0,13400.0,2141900.0,23300.0,21500.0,127000.0,bf736be3-402a-4b4d-a3d1-2683e61c777b,new_no_defects,15800.0,2111100.0,21028600.0,485800.0,21700.0,12900.0,14600.0,70400.0,24000.0,21300.0,109800.0,125400.0,0.0,20100.0,27100.0,18500.0,89500.0,2685600.0,139700.0,16400.0,618000.0,159600.0,26751600.0,27600.0,30500.0,under_retail,,,
8,"['jordan', '4']",Nike SB x Air Jordan 4 Retro SP 'Pine Green',False,1154359,DR5415 103,nike-sb-x-air-jordan-4-retro-pine-green-dr5415-103,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/042/495/original/1154359_00.png.png,sneakers,20230321.0,2023.0,22500.0,156500.0,29912100.0,30600.0,100100.0,20900.0,695200.0,18300.0,2982500.0,33900.0,30300.0,178600.0,4f0486e7-6b48-4f71-9b81-26e4e25b7090,new_no_defects,30700.0,4101800.0,40859300.0,943800.0,42100.0,25000.0,28300.0,136700.0,46600.0,41300.0,213300.0,243700.0,0.0,,,,,,,,,,,,,,,,
9,"['jordan', '4']",Air Jordan 4 Retro OG 'Fire Red' 2020,False,612313,DC7770 160,air-jordan-4-retro-og-fire-red-2020-dc7770-160,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/046/247/195/original/612313_00.png.png,sneakers,20201127.0,2020.0,20000.0,138000.0,25724700.0,27000.0,88300.0,18900.0,611300.0,16700.0,2677400.0,29100.0,26900.0,158800.0,627e8d5b-1571-4f41-9f33-564418eb01fd,new_no_defects,32700.0,4363600.0,43548200.0,1005300.0,44700.0,26700.0,30400.0,145600.0,49600.0,44000.0,227300.0,259600.0,101.0,,,,,,,,,,,,,,https://image.goat.com/attachments/product_outer_pictures/images/052/533/882/square/temp1617140966.jpeg?1617140966,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/052/533/882/square/temp1617140966.jpeg?1617140966""}",
